file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,186,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,17
style.css,187,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,188,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,189,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,8
style.css,190,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,21
style.css,191,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,10
style.css,192,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,19
style.css,193,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,30
style.css,194,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,18
style.css,195,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,196,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
style.css,197,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,8
style.css,198,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,16
style.css,199,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,13
style.css,200,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,58
style.css,201,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,41
style.css,202,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,10
style.css,203,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,7
style.css,204,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,12
style.css,205,css,ca46e878,Brooklyn P,2025-02-06,21:32:15,-08:00,2025-02-06T21:32:15-08:00,0,0
